year,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,abb,state_name,city_name,city_state
1975,864665,237,547,3386,3485,7655,12,885.31396552422,27.4094591547015,63.2614943359567,391.596745560419,403.046266473143,TX,Texas,Dallas,"Dallas, Texas"
1975,508140,74,480,2568,1838,4960,12,976.108946353367,14.5629157318849,94.462156098713,505.372535128114,361.711339394655,CO,Colorado,Denver,"Denver, Colorado"
1975,369e3,21,122,840,635,1618,12,438.482384823848,5.69105691056911,33.0623306233062,227.642276422764,172.086720867209,TX,Texas,El Paso,"El Paso, Texas"
1975,381275,69,169,1207,494,1939,12,508.556815946495,18.0971739558062,44.3249622975543,316.569405284899,129.565274408236,TX,Texas,Fort Worth,"Fort Worth, Texas"
1975,176500,25,84,567,465,1141,12,646.458923512748,14.1643059490085,47.5920679886686,321.246458923513,263.456090651558,CA,California,Fresno,"Fresno, California"
1975,1372342,347,588,6422,1567,8924,12,650.275222940054,25.2852423084042,42.8464624707252,467.959153039111,114.184365121814,TX,Texas,Houston,"Houston, Texas"
1975,503411,95,351,3092,1117,4655,12,924.691752861976,18.8712602624893,69.7243405487762,614.20986033281,221.8862917179,IN,Indiana,Indianapolis,"Indianapolis, Indiana"
1975,542792,91,316,1727,2445,4579,12,843.601232147858,16.7651697151027,58.2175124172796,318.169759318487,450.448790696989,FL,Florida,Jacksonville,"Jacksonville, Florida"
1975,489094,114,302,3081,2575,6072,12,1241.47914306861,23.3084028836992,61.7468216743612,629.940256883135,526.483661627417,MO,Missouri,Kansas City,"Kansas City, Missouri"
1975,249186,37,169,1345,1043,2594,12,1040.98946168725,14.8483462152769,67.8208246049136,539.75745025804,418.562840609023,NV,Nevada,Las Vegas,"Las Vegas, Nevada"
1975,340758,54,169,1959,1007,3189,12,935.854770834434,15.8470234007712,49.5953139764877,574.894793372423,295.517640084752,CA,California,Long Beach,"Long Beach, California"
1975,2729878,554,1768,14590,13493,30405,12,1113.78603732474,20.2939472020361,64.7647990129962,534.456118551818,494.271172557895,CA,California,Los Angeles,"Los Angeles, California"
1975,1022888,138,471,3055,6128,9792,12,957.289556627901,13.4912131142412,46.0460969333886,298.664174376862,599.088072203408,CA,California,Los Angeles County,"Los Angeles County, California"
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KY,Kentucky,Louisville,"Louisville, Kentucky"
1975,646483,120,521,2983,1805,5429,12,839.774595774367,18.5619730139849,80.5898995023844,461.419712505975,279.203010752023,TN,Tennessee,Memphis,"Memphis, Tennessee"
1975,113176,2,22,98,145,267,12,235.915741853396,1.76715911500672,19.4387502650739,86.590796635329,128.119035837987,AZ,Arizona,Mesa,"Mesa, Arizona"
1975,350742,98,178,2657,3280,6213,12,1771.38751560976,27.9407655769768,50.7495538030803,757.536878959463,935.160317270244,FL,Florida,Miami,"Miami, Florida"
1975,619795,94,174,2426,4008,6702,11,1081.32527690607,15.1663049879396,28.0737985946966,391.419743624908,646.665429698529,FL,Florida,Miami-Dade County,"Miami-Dade County, Florida"
1975,674369,70,146,1968,1020,3204,12,475.110807287998,10.3800738171535,21.6498682472059,291.82836103083,151.252504192808,WI,Wisconsin,Milwaukee,"Milwaukee, Wisconsin"
1975,405378,47,307,1838,1134,3326,12,820.468797024012,11.594117095649,75.7317861354094,453.403983442614,279.73891035034,MN,Minnesota,Minneapolis,"Minneapolis, Minnesota"
1975,496092,19,84,578,286,967,12,194.923522249905,3.8299347701636,16.9323431944075,116.510647218661,57.6505970666731,MD,Maryland,Montgomery County,"Montgomery County, Maryland"
1975,449600,93,110,2003,952,3158,12,702.402135231317,20.6850533807829,24.4661921708185,445.507117437722,211.743772241993,TN,Tennessee,Nashville,"Nashville, Tennessee"
1975,NA,20510,NA,NA,NA,1039710,NA,487.8,9.6,NA,NA,NA,NA,NA,National,"National, NA"
1975,571934,158,237,3596,2002,5993,12,1047.84817828631,27.6255651875916,41.4383477813874,628.743876041641,350.040389275686,LA,Louisiana,New Orleans,"New Orleans, Louisiana"
1975,372663,122,297,4273,2444,7136,12,1914.86678312577,32.7373525142018,79.6966696452291,1146.61235486217,655.820406104174,NJ,New Jersey,Newark,"Newark, New Jersey"
1975,337748,111,316,3185,2288,5900,12,1746.86452621481,32.864739391499,93.5608797091323,943.010765422741,677.428141691439,CA,California,Oakland,"Oakland, California"
1975,384081,61,249,992,1364,2666,12,694.124416464235,15.8820665432552,64.8300749060745,258.278852637855,355.133422377051,OK,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma"
1975,118457,21,86,304,705,1116,12,942.114016056459,17.7279519150409,72.6001840330246,256.633208674878,595.152671433516,FL,Florida,Orlando,"Orlando, Florida"
1975,1883253,435,716,10405,4776,16332,12,867.222831982745,23.09833038896,38.0193208241272,552.501442981904,253.603737787753,PA,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania"
1975,668046,75,311,1938,2325,4649,12,695.91016187508,11.2267718091269,46.5536804351796,290.099783547839,348.029926082934,AZ,Arizona,Phoenix,"Phoenix, Arizona"
1975,479083,63,237,2744,1923,4967,12,1036.77233381272,13.1501222126437,49.4695073713741,572.76087859515,401.391825633554,PA,Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania"
1975,373126,48,287,1843,1898,4076,12,1092.39238219797,12.8642871308888,76.917716803439,493.93502462975,508.675353633893,OR,Oregon,Portland,"Portland, Oregon"
1975,569452,46,261,2147,1693,4147,12,728.243995982102,8.07794159999438,45.8335382086638,377.029143808433,297.303372365011,MD,Maryland,Prince George's County,"Prince George's County, Maryland"
1975,262994,42,155,1128,1087,2412,12,917.131189304699,15.9699460824201,58.93670578036,428.907123356426,413.317414085492,CA,California,Sacramento,"Sacramento, California"
1975,18e4,11,99,582,378,1070,12,594.444444444444,6.11111111111111,55,323.333333333333,210,UT,Utah,Salt Lake City,"Salt Lake City, Utah"
1975,768814,131,275,1730,2086,4222,12,549.157533551678,17.0392318558195,35.7693798500027,225.021916874563,271.327004971293,TX,Texas,San Antonio,"San Antonio, Texas"
1975,768713,64,229,2199,1367,3859,12,502.00790151851203,8.32560396402819,29.7900516837884,286.062548701531,177.829697169165,CA,California,San Diego,"San Diego, California"
1975,669977,138,547,5687,2765,9137,12,1363.77815954876,20.5977220113526,81.6445937696369,848.835109264945,412.700734502826,CA,California,San Francisco,"San Francisco, California"
1975,549367,40,234,887,955,2116,12,385.170569036728,7.28110716515553,42.5944769161599,161.458551387324,173.836433568088,CA,California,San Jose,"San Jose, California"
1975,569e3,240,462,6288,3573,10563,12,1856.41476274165,42.1792618629174,81.195079086116,1105.09666080844,627.943760984183,MO,Missouri,St. Louis,"St. Louis, Missouri"
1975,291103,67,162,1394,1545,3168,12,1088.27459696396,23.0159084585181,55.6504055265662,478.868304345884,530.739978632992,FL,Florida,Tampa,"Tampa, Florida"
1975,340500,23,137,707,943,1810,12,531.571218795888,6.75477239353891,40.2349486049927,207.635829662261,276.945668135095,AZ,Arizona,Tucson,"Tucson, Arizona"
1975,347600,39,136,581,1012,1768,12,508.630609896433,11.2197928653625,39.1254315304948,167.146144994246,291.139240506329,OK,Oklahoma,Tulsa,"Tulsa, Oklahoma"
1975,716e3,235,520,9137,2812,12704,12,1774.30167597765,32.8212290502793,72.6256983240224,1276.11731843575,392.737430167598,DC,NA,Washington,"Washington, NA"
1975,259240,36,53,640,408,1137,12,438.589723808054,13.8867458725505,20.4443758679216,246.875482178676,157.383119888906,KS,Kansas,Wichita,"Wichita, Kansas"
1976,292265,28,186,871,1335,2420,12,828.015670709801,9.5803466032539,63.6408738644723,298.017210408362,456.777239833713,NM,New Mexico,Albuquerque,"Albuquerque, New Mexico"
1976,107470,5,30,99,140,274,12,254.954871126826,4.65246115194938,27.9147669116963,92.1187308085977,130.268912254583,TX,Texas,Arlington,"Arlington, Texas"
1976,457300,154,477,3380,3518,7529,12,1646.40279903783,33.675923901159,104.307894161382,739.120927181281,769.298053794008,GA,Georgia,Atlanta,"Atlanta, Georgia"
1976,132e3,2,40,166,338,546,12,413.636363636364,1.51515151515152,30.3030303030303,125.757575757576,256.060606060606,CO,Colorado,Aurora,"Aurora, Colorado"
1976,284908,24,181,518,479,1202,12,421.890575203224,8.42377188425738,63.5292796271077,181.813076501888,168.12444718997,TX,Texas,Austin,"Austin, Texas"
1976,860974,200,460,7755,5776,14191,12,1648.24954063653,23.22950518831,53.427861933113,900.72406367672,670.868109838392,MD,Maryland,Baltimore,"Baltimore, Maryland"
1976,642369,19,142,688,949,1798,12,279.901427372741,2.95780151283764,22.1056744643655,107.103549517489,147.734401878048,MD,Maryland,Baltimore County,"Baltimore County, Maryland"
1976,3134499,814,1179,17577,11070,30640,12,977.508686396135,25.969062360524,37.6136664902429,560.759470652248,353.166486893121,IL,Illinois,Chicago,"Chicago, Illinois"
1976,427045,56,263,1525,1617,3461,12,810.453230924142,13.1133721270592,61.5860155252959,357.105223102952,378.648620168835,OH,Ohio,Cincinnati,"Cincinnati, Ohio"
1976,642298,236,498,5453,2309,8496,12,1322.75049898957,36.7430694163768,77.5341041074392,848.982870879249,359.4904545865,OH,Ohio,Cleveland,"Cleveland, Ohio"
1976,595500,53,328,1921,985,3287,12,551.973131821998,8.90008396305626,55.0797649034425,322.586062132662,165.407220822838,OH,Ohio,Columbus,"Columbus, Ohio"
1976,888450,230,591,3113,3310,7244,12,815.352580336541,25.8877820924081,66.5203444200574,350.385502842028,372.558950982047,TX,Texas,Dallas,"Dallas, Texas"
1976,523676,86,383,2042,1596,4107,12,784.263552272779,16.4223680290867,73.1368250597698,389.935761806919,304.768597377004,CO,Colorado,Denver,"Denver, Colorado"
1976,361413,25,118,792,638,1573,12,435.236142584799,6.91729406523838,32.6496279879252,219.139875986752,176.529344544884,TX,Texas,El Paso,"El Paso, Texas"
1976,364302,70,174,985,503,1732,12,475.429725886764,19.2148272587029,47.7625706144902,270.380069283177,138.072258730394,TX,Texas,Fort Worth,"Fort Worth, Texas"
1976,177900,28,55,723,461,1267,12,712.197863968522,15.7391793142215,30.9162450815065,406.408094435076,259.134345137718,CA,California,Fresno,"Fresno, California"
1976,1477e3,321,690,5531,1503,8045,12,544.685172647258,21.7332430602573,46.716316858497,374.47528774543,101.760324983074,TX,Texas,Houston,"Houston, Texas"
1976,494730,68,347,2366,1363,4144,12,837.628605501991,13.7448709397045,70.139267883492,478.240656519718,275.503810159077,IN,Indiana,Indianapolis,"Indianapolis, Indiana"
1976,543839,90,279,1558,2516,4443,12,816.969728173228,16.5490154255212,51.3019478191156,286.481844810688,462.636920117903,FL,Florida,Jacksonville,"Jacksonville, Florida"
1976,488012,95,350,2410,2723,5578,12,1143.00468021278,19.4667344245633,71.7195478799702,493.84031540208,557.978082506168,MO,Missouri,Kansas City,"Kansas City, Missouri"
1976,265347,35,151,1276,1011,2473,12,931.987171515035,13.1902753752633,56.9066166189932,480.879753681029,381.010525839749,NV,Nevada,Las Vegas,"Las Vegas, Nevada"
1976,340900,69,200,1703,978,2950,12,865.356409504253,20.2405397477266,58.6682311528307,499.559988266354,286.887650337342,CA,California,Long Beach,"Long Beach, California"
1976,2739100,501,2047,14225,15187,31960,12,1166.8066153116,18.2906794202475,74.732576393706,519.331167171699,554.452192325946,CA,California,Los Angeles,"Los Angeles, California"
